x,y,vx,vy,rho,p,neighbor_count
3.100000013e-01,4.000024445e-02,1.264279037e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.200000013e-01,4.000024445e-02,1.264279036e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.300000013e-01,4.000024445e-02,1.264279030e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.400000013e-01,4.000024445e-02,1.264279007e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.500000013e-01,4.000024445e-02,1.264279009e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
3.600000013e-01,4.000024445e-02,1.264279042e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
3.700000013e-01,4.000024445e-02,1.264279045e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.800000013e-01,4.000024445e-02,1.264279032e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
3.900000013e-01,4.000024445e-02,1.264279031e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
4.000000013e-01,4.000024445e-02,1.264279014e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
4.100000013e-01,4.000024445e-02,1.264279014e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
4.200000013e-01,4.000024445e-02,1.264279045e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
4.300000013e-01,4.000024445e-02,1.264279044e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
4.400000013e-01,4.000024445e-02,1.264279030e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
