step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
99,0.04950000000000004,0.0005,0.8362342292642434,968.8429848831432,1000.3406596436646,1029.2446826483674,0.03406596436646385,-15578.507558428384,170.32982183231928,14622.341324183708,3,9.48,12
100,0.05000000000000004,0.0005,1.296516836628851,960.646236325,999.0139722439296,1029.8096962626494,-0.09860277560703182,-19676.88183749999,-493.0138780351593,14904.848131324685,3,9.52,14
101,0.05050000000000004,0.0005,1.4875511938738917,956.0777347984792,996.8049691536745,1026.8358379810545,-0.31950308463252786,-21961.13260076038,-1597.5154231626389,13417.918990527254,3,9.56,14
102,0.05100000000000004,0.0005,1.203688685922352,955.6982518329547,994.2815712406933,1018.6495371694413,-0.5718428759306803,-22150.874083522638,-2859.2143796534015,9324.76858472063,3,9.62,14
103,0.05150000000000004,0.0005,0.7954598820590723,952.9300406135224,992.4495869041692,1008.0577295508251,-0.7550413095830762,-23534.979693238824,-3775.206547915381,4028.8647754125577,3,9.6,14
104,0.05200000000000004,0.0005,0.8213535524736573,949.8702858365011,992.1409522103443,1011.3920236460075,-0.7859047789655703,-25064.857081749436,-3929.523894827852,5696.011823003744,3,9.56,14
105,0.05250000000000004,0.0005,0.8429304142500921,966.787532790354,993.4192293591607,1013.9082431952127,-0.6580770640839303,-16606.233604822988,-3290.385320419652,6954.121597606331,3,9.58,14
106,0.05300000000000004,0.0005,0.8713203978671167,973.8141262722963,995.5983398097011,1026.489729191026,-0.44016601902988906,-13092.936863851832,-2200.8300951494452,13244.864595513036,3,9.66,14
107,0.05350000000000004,0.0005,0.8494221386736752,970.6439190263833,997.8220706055858,1035.1666332613104,-0.21779293944138634,-14678.040486808357,-1088.9646972069318,17583.31663065519,3,9.72,14
108,0.05400000000000004,0.0005,0.7574394906734295,971.3397611054468,999.5806929771137,1028.6404495727554,-0.04193070228861892,-14330.119447276615,-209.65351144309457,14320.224786377708,3,9.74,14
109,0.05450000000000004,0.0005,0.7458533179803559,974.5182514749455,1000.8678661502647,1020.6439656026541,0.08678661502649299,-12740.874262527257,433.93307513246515,10321.982801327067,2,9.76,14
110,0.05500000000000004,0.0005,0.7088494886328466,978.7317232082704,1002.0981756488228,1031.4951623247532,0.2098175648822817,-10634.138395864795,1049.0878244114083,15747.581162376606,2,9.76,14
111,0.05550000000000004,0.0005,0.7318125211337684,973.1888549092462,1003.7474068828169,1038.9056528538372,0.37474068828167795,-13405.572545376912,1873.7034414083894,19452.82642691859,2,9.74,14
112,0.05600000000000004,0.0005,0.8707589763595148,979.2465907408005,1005.8164324347791,1041.3752931977776,0.5816432434779112,-10376.704629599772,2908.2162173895563,20687.64659888882,2,9.74,14
113,0.05650000000000004,0.0005,0.7617009734719922,984.215555637918,1007.6427281661828,1038.769582746174,0.7642728166182806,-7892.2221810410065,3821.3640830914037,19384.791373086955,3,9.78,14
114,0.057000000000000044,0.0005,0.7258705313351764,984.9674974002854,1008.3143531520512,1039.7183907638905,0.831435315205138,-7516.251299857287,4157.176576025691,19859.195381945254,3,9.76,14
115,0.057500000000000044,0.0005,0.8762266799887635,990.5650446452074,1007.2727541611788,1043.0150334003683,0.7272754161178895,-4717.477677396289,3636.3770805894483,21507.51670018417,2,9.64,14
116,0.058000000000000045,0.0005,1.080096847309245,987.0443414395928,1004.6221079363271,1031.5624194281932,0.46221079363270057,-6477.829280203594,2311.0539681635028,15781.209714096576,2,9.56,14
117,0.058500000000000045,0.0005,0.9551828036492124,981.074270172534,1001.1103838003312,1019.3727535970544,0.11103838003311454,-9462.864913732972,555.1919001655727,9686.376798527192,2,9.5,14
118,0.059000000000000045,0.0005,0.683724784856904,972.7083507932713,997.8392778624611,1018.7140163416373,-0.21607221375387614,-13645.82460336436,-1080.3610687693813,9357.00817081863,2,9.52,14
119,0.059500000000000046,0.0005,0.7725215421498973,973.1391342468535,995.7282291860616,1017.1176126260204,-0.4271770813938201,-13430.432876573264,-2135.8854069691,8558.806313010224,2,9.48,14
120,0.060000000000000046,0.0005,0.7717460009988109,967.7012978996781,995.0624782962639,1018.0374552565285,-0.49375217037360747,-16149.35105016093,-2468.7608518680368,9018.72762826423,2,9.64,14
121,0.06050000000000005,0.0005,0.6327557385836199,966.4717906624375,995.5193413129008,1019.8567125470007,-0.4480658687099317,-16764.10466878127,-2240.3293435496585,9928.356273500356,2,9.68,14
122,0.06100000000000005,0.0005,0.9029890886240868,969.3356821218256,996.5790891068808,1022.3931755844363,-0.342091089311922,-15332.158939087207,-1710.4554465596102,11196.587792218168,2,9.7,14
123,0.06150000000000005,0.0005,1.030815801503151,975.7789444583857,997.8756701224189,1019.2357481391255,-0.21243298775811725,-12110.527770807152,-1062.1649387905863,9617.874069562731,2,9.74,14
124,0.06200000000000005,0.0005,1.13522549274423,980.5513175842397,999.2982267829132,1015.2005452638273,-0.07017732170868034,-9724.341207880172,-350.8866085434015,7600.27263191364,2,9.72,14
125,0.06250000000000004,0.0005,1.1720071276655255,967.2335435041521,1000.9048728269039,1016.6119551439979,0.09048728269040406,-16383.228247923966,452.4364134520206,8305.977571998937,2,9.66,14
